Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1981","1981","kg/ha","1974.6","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1982","1982","kg/ha","1448.9","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1983","1983","kg/ha","2066.4","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1984","1984","kg/ha","1967.8","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1985","1985","kg/ha","2016.1","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1986","1986","kg/ha","1779","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1987","1987","kg/ha","2095","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1988","1988","kg/ha","2263.5","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1989","1989","kg/ha","2365.7","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1990","1990","kg/ha","2406.7","A","Official value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1991","1991","kg/ha","2048.1","A","Official value",""
